created_at	text	in_reply_to_screen_name	retweet_count	favorite_count	source	id_str
Wed Jan 20 22:46:52 +0000 2021	The @AbiyAhmedAli administration has murdered more Oromos than #COVID19 has. @joebiden @kamalaharris #SaveOromos… 		0	0	Twitter for iPhone	1352024827045920769
Thu Jan 21 03:29:40 +0000 2021	@SpeakerPelosi Historical, the most beautiful inaugural celebration ever. In these times of healing our country fro… 	SpeakerPelosi	0	0	Twitter for Android	1352095996579352577
Thu Jan 21 03:22:28 +0000 2021	This is so far from over. 		12	20	Twitter for iPhone	1352094182949736448
Wed Jan 20 21:03:04 +0000 2021	50K+ #Google searches 4 President Carter 4h old   #Washington  7:22… 		0	0	trendsmetadata	1351998705445052417
Wed Jan 20 17:02:53 +0000 2021	Please read the article before you panic 		0	0	Twitter for Android	1351938259597864960
Wed Jan 20 18:44:49 +0000 2021	#DemocracyWins We are a resilient country. Today we get to celebrate before going back to work—as there is a lot of… 		1	3	Twitter for iPhone	1351963910040125448
Wed Jan 20 13:54:19 +0000 2021	@OnRockyTopse @Chris_Meloni Makes me sick to watch this pos act like he’s done anything. Yes he did he got 400,000… 	OnRockyTopse	0	0	Twitter for iPhone	1351890803140878338
Wed Jan 20 09:51:28 +0000 2021	When you're editor on duty and the press releases start piling up,,you get creative. 		0	0	Twitter for Android	1351829688180756480
Wed Jan 20 08:31:23 +0000 2021	Stay safe everyone,Lord Speed - Selena, Lulo &amp; the 400,000+ American Lives lost due to Covid-19 		0	1	Twitter for iPhone	1351809534151557120
Wed Jan 20 22:35:35 +0000 2021	ELAIN SISOLAK FORD MASTO ROSEN TITUS HORSFORD BEING ABOVE THE LAW REFUSING ACCOUNTABILITY FOR THE OFFICES HELD BY… 		0	0	Twitter for Android	1352021986403254273
Thu Jan 21 02:19:32 +0000 2021	tomorrow we will likely cross 1000 #covid19 +ve cases on campus, since August 2020. 		0	4	Twitter for iPhone	1352078345786298368
Thu Jan 21 02:17:08 +0000 2021	???????? Define “hide” 		1	0	Twitter for iPhone	1352077742137876484
Wed Jan 20 15:58:50 +0000 2021	I like that I right away recognized bill and Hillary Clinton  , later recognized George w. Bush and Laura Bush  , a… 		0	1	Twitter for Android	1351922140124123142
Thu Jan 21 04:08:51 +0000 2021	"@sendmixsignals @sumpter_adam @AnnieGabstonH @MSNBC Calling someone a ""dumbass"" &amp; saying her parents are ""ignorant""… "	sendmixsignals	0	0	Twitter for Android	1352105853474779140
Wed Jan 20 16:00:58 +0000 2021	Be safe team 		0	0	Twitter for iPhone	1351922678316355584
Wed Jan 20 16:11:40 +0000 2021	OMG NO TOUCHING GUYS! REMEBER #COVID19 ?#InaugurationDay #Inauguration2021 #Inauguration @cspan		0	1	Twitter for Android	1351925371550183428
Thu Jan 21 03:17:43 +0000 2021	And here we are, 400,000 fatalities later 		3	2	Twitter for iPhone	1352092989192073216
Wed Jan 20 14:29:17 +0000 2021	@DrEricDing Because the original #COVID19 was an engineered virus that accidentally got loose. Everything about this virus is abnormal.	DrEricDing	0	0	Twitter for Android	1351899605886070784
Wed Jan 20 11:00:44 +0000 2021	City Hall lit up in #Amber this morning. It’s part of a nationwide memorial to all the lives lost to #COVID19… 		6	35	Twitter for iPhone	1351847121729818624
Thu Jan 21 03:10:00 +0000 2021	We aren’t using all of our tools to treat Covid-19 		1	0	Twitter for Android	1352091046096715776
Wed Jan 20 07:42:39 +0000 2021	@NBC7SanDiego @fox5sandiego @CNN forced to cancel hAwaii travel plans because walgreens covid lab messed up. thousa… 	NBC7SanDiego	0	0	Twitter for iPhone	1351797272808308736
Wed Jan 20 15:20:21 +0000 2021	@Yamiche Yes it was Covid-19 world headquarters!	Yamiche	0	0	Twitter for iPhone	1351912455295934464
Thu Jan 21 00:36:11 +0000 2021	@tatereeves @WLBT Perfectly seamless COVID-19 vaccination!  National Guard troops directed cars, handled paperwork… 	tatereeves	0	3	Twitter for Android	1352052334763921408
Wed Jan 20 22:25:57 +0000 2021	#COVIDSecondWaveWe aren’t using all of our tools to treat #COVID19 		0	0	Twitter for Android	1352019560187232256
Thu Jan 21 02:55:11 +0000 2021	So for whenever I can actually go back to my office (though we already had one in place. 		0	0	Twitter for Android	1352087316425273344
Wed Jan 20 08:08:03 +0000 2021	- “POTUS attends first in-person G8 summit since covid-19 pandemic” 	4cm4k1	0	0	Twitter for Android	1351803665166823424
Thu Jan 21 00:42:31 +0000 2021	A majority of people in the country sill soon be infected with coronavirus. Despite all of the public health measur… 		0	0	Twitter for iPhone	1352053928544747520
Wed Jan 20 06:19:16 +0000 2021	I need that where i apply 		0	0	Twitter for iPhone	1351776286490898433
Wed Jan 20 06:10:49 +0000 2021	@tfcocs @DrEricDing I was shocked how little people cared that Phil Spector died of COVID-19 in prison. The hatred… 	tfcocs	0	0	Twitter for iPad	1351774160284954626
Wed Jan 20 14:14:25 +0000 2021	Is anyone else struggling to get 1099’s done and out during the Covid-19 pandemic? I wonder if we can expect an ext… 		0	0	Twitter for iPhone	1351895865028435970
Wed Jan 20 14:17:23 +0000 2021	@waltshaub Watching President-elect Biden departing Delaware! To seeing him and Vice President-elect Harris with th… 	waltshaub	0	0	Twitter for Android	1351896607923568641
Wed Jan 20 18:31:46 +0000 2021	@JashuaPuckett @EmeraldZoo @OneFallenAngelM @MamaPufff @420Mama1 @buds_activist @Godzmazter @GGiveawayz @_jena4n… 	JashuaPuckett	0	1	Twitter for Android	1351960628080963584
Wed Jan 20 19:01:57 +0000 2021	Butte’s Civic Center serving a very important purpose today — the site for the counties first mass COVID-19 vaccine… 		2	21	Twitter for iPhone	1351968224561278979
Thu Jan 21 04:25:19 +0000 2021	Good to see our @USUAggies students taking this pandemic seriously as we start the semester.… 		1	11	Twitter for Android	1352109997879042048
Wed Jan 20 17:23:24 +0000 2021	@mmpadellan Me too!  I just wish my son was here to see this! He died just 2 weeks ago at the age of 25.  Hopefully… 	mmpadellan	0	1	Twitter for iPhone	1351943422580563968
Thu Jan 21 04:44:22 +0000 2021	One final great thing about today: I am thrilled to see @kaitlancollins become chief WH for CNN. She never cheerlea… 		11	116	Twitter for iPhone	1352114791398125569
Wed Jan 20 12:13:09 +0000 2021	Surely not! Staying open kills everyone. They must all be dead. 		0	0	Tweetbot for iΟS	1351865345531904004
Wed Jan 20 22:30:46 +0000 2021	what he wrote was #Truth!Thank #God today @POTUS @JoeBiden just signed exec orders on #InaugurationDay to lift… 		0	0	Twitter for Android	1352020773565849610
Wed Jan 20 07:47:43 +0000 2021	@peace589 @Ros62775915 @donwinslow @Yahoo Nope still filling in for Bob ... but hasn’t been as much work for me as… 	peace589	0	0	Twitter for iPhone	1351798546551369728
Wed Jan 20 16:55:37 +0000 2021	One of my biggest realizations today is that we will know what is going on in the WH &amp; our nation again! Press conf… 		0	4	Twitter for iPhone	1351936431267205123
Thu Jan 21 02:00:36 +0000 2021	@angierox30 @NewAbnormal19 @lindastorknurse @jerseymom473 @IvankaTrump An independent panel criticized #Beijing and… 	angierox30	0	0	Twitter for Android	1352073581006647298
Wed Jan 20 14:19:14 +0000 2021	The COVID-19 testing site at the Regency Square Mall in #Jacksonville is now also a vaccination site run by the sta… 		2	4	Twitter for iPhone	1351897075663908872
Thu Jan 21 01:57:57 +0000 2021	Whole thing, read the whole thread yall 		0	0	Twitter for iPhone	1352072912564596737
